FID,Codigo,Texto,Texto_Alt,X,Y
0,01,Andalucía,Andalucía,-4.5745485128,37.4691979121
1,02,Aragón,Aragón,-0.657353550487,41.5313920139
2,03,Principado de Asturias,Asturias,-5.99337242943,43.2929692681
3,04,Islas Baleares,Illes Balears,2.91495028525,39.5771259777
4,05,Canarias,Canarias,-15.6702774257,28.3416423928
5,06,Cantabria,Cantabria,-4.02968692168,43.1981623449
6,07,Castilla y León,Castilla y León,-4.78050264817,41.7675619355
7,08,Castilla - La Mancha,Castilla - La Mancha,-3.00368085293,39.5932211927
8,09,Cataluña,Catalunya,1.53125455347,41.8040508098
9,10,Comunidad Valenciana,Comunitat Valenciana,-0.553081549272,39.4123215664
10,11,Extremadura,Extremadura,-6.15052297695,39.1993065504
11,12,Galicia,Galicia,-7.91074460528,42.7622171707
12,13,Comunidad de Madrid,Madrid,-3.71714308088,40.4966827889
13,14,Región de Murcia,Murcia,-1.48562268701,38.0042940473
14,15,Comunidad Foral de Navarra,Nafarroa,-1.64595748599,42.6696201959
15,16,País Vasco,Euskadi,-2.61677028095,43.044561029
16,17,La Rioja,La Rioja,-2.51742338039,42.2754356917
17,18,Ceuta,Ceuta,-5.34342463255,35.8934088943
18,19,Melilla,Melilla,-2.95053600894,35.2908310817
